# Title: Line and Mean Opacities for Ultra-cool Dwarfs and Extrasolar Planets
# Authors: Freedman R.,  Marley M.S., Lodders K.
# Table: Mean Opacities for [M/H] = 0.0
# Modified by Zifan Lin into rectangular grid
# Empty (low P-T) grid points filled with 75 K, 3.0E+2 dyne/cm2 data
# Pressure, density, kappaR and kappaP are isothermally extended to 1.0e13 Pa (1.0e14 0.1 Pa)
# Temp (K)	Pressure (0.1 Pa)	Density (g/cm3)	kappaR (cm2/g)	kappaP (cm2/g)
2600	3.00E+02	1.9999E-09	5.3978E-03	1.4831E-01
2600	3.00E+03	2.5343E-08	2.0278E-02	2.9747E-01
2600	1.00E+04	9.3456E-08	2.4769E-02	3.6472E-01
2600	3.00E+04	2.9815E-07	2.7700E-02	4.8739E-01
2600	1.00E+05	1.0359E-06	3.1199E-02	9.1158E-01
2600	3.00E+05	3.1777E-06	3.6526E-02	2.1419E+00
2600	1.00E+06	1.0744E-05	4.6853E-02	5.9387E+00
2600	3.00E+06	3.2469E-05	6.3942E-02	1.0448E+01
2600	1.00E+07	1.0873E-04	9.8589E-02	1.1380E+01
2600	3.00E+07	3.2696E-04	1.6021E-01	1.2084E+01
2600	1.00E+08	1.0915E-03	3.0506E-01	1.2658E+01
2600	3.00E+08	3.2775E-03	6.0404E-01	1.3286E+01
3000	3.00E+02	1.1277E-07	2.5619E-06	7.1083E-06
3000	3.00E+03	1.1277E-07	2.5619E-06	7.1083E-06
3000	1.00E+04	1.1277E-07	2.5619E-06	7.1083E-06
3000	3.00E+04	1.1277E-07	2.5619E-06	7.1083E-06
3000	1.00E+05	1.1277E-07	2.5619E-06	7.1083E-06
3000	3.00E+05	1.1277E-07	2.5619E-06	7.1083E-06
3000	1.00E+06	8.8406E-06	9.5831E-02	8.2001E+00
3000	3.00E+06	2.7288E-05	1.2347E-01	1.6611E+01
3000	1.00E+07	9.2633E-05	1.7626E-01	1.8808E+01
3000	3.00E+07	2.8056E-04	2.6843E-01	2.0278E+01
3000	1.00E+08	9.4083E-04	4.7755E-01	2.1610E+01
3000	3.00E+08	2.8313E-03	8.8710E-01	2.2114E+01
3500	3.00E+02	1.1277E-07	2.5619E-06	7.1083E-06
3500	3.00E+03	1.1277E-07	2.5619E-06	7.1083E-06
3500	1.00E+04	1.1277E-07	2.5619E-06	7.1083E-06
3500	3.00E+04	1.1277E-07	2.5619E-06	7.1083E-06
3500	1.00E+05	1.1277E-07	2.5619E-06	7.1083E-06
3500	3.00E+05	1.1277E-07	2.5619E-06	7.1083E-06
3500	1.00E+06	6.4807E-06	2.0707E-01	5.0236E+00
3500	3.00E+06	2.1154E-05	2.9854E-01	1.5124E+01
3500	1.00E+07	7.4884E-05	4.2664E-01	2.2364E+01
3500	3.00E+07	2.3224E-04	6.0730E-01	2.6940E+01
3500	1.00E+08	7.9092E-04	9.6216E-01	3.1009E+01
3500	3.00E+08	2.3995E-03	1.5645E+00	3.2450E+01
4000	3.00E+02	1.1277E-07	2.5619E-06	7.1083E-06
4000	3.00E+03	1.1277E-07	2.5619E-06	7.1083E-06
4000	1.00E+04	1.1277E-07	2.5619E-06	7.1083E-06
4000	3.00E+04	1.1277E-07	2.5619E-06	7.1083E-06
4000	1.00E+05	1.1277E-07	2.5619E-06	7.1083E-06
4000	3.00E+05	1.1277E-07	2.5619E-06	7.1083E-06
4000	1.00E+06	1.1277E-07	2.5619E-06	7.1083E-06
4000	3.00E+06	1.1277E-07	2.5619E-06	7.1083E-06
4000	1.00E+07	5.8292E-05	9.8648E-01	1.4732E+01
4000	3.00E+07	1.8863E-04	1.4542E+00	2.2879E+01
4000	1.00E+08	6.6283E-04	2.1549E+00	3.2196E+01
4000	3.00E+08	2.0465E-03	3.0957E+00	3.7237E+01
