#P (Pa)	rho (kg/m3)
1.619359501364e+10	3.348869773955e+03
1.626468209115e+10	3.352670534107e+03
1.633598968011e+10	3.356471294259e+03
1.640751815660e+10	3.360272054411e+03
1.647926789668e+10	3.364072814563e+03
1.655123927636e+10	3.367873574715e+03
1.662343267162e+10	3.371674334867e+03
1.669584845843e+10	3.375475095019e+03
1.676848701270e+10	3.379275855171e+03
1.684134871032e+10	3.383076615323e+03
1.691443392716e+10	3.386877375475e+03
1.698774303902e+10	3.390678135627e+03
1.706127642169e+10	3.394478895779e+03
1.713503445091e+10	3.398279655931e+03
1.720901750241e+10	3.402080416083e+03
1.728322595184e+10	3.405881176235e+03
1.735766017484e+10	3.409681936387e+03
1.743232054700e+10	3.413482696539e+03
1.750720744387e+10	3.417283456691e+03
1.758232124096e+10	3.421084216843e+03
1.765766231374e+10	3.424884976995e+03
1.773323103764e+10	3.428685737147e+03
1.780902778803e+10	3.432486497299e+03
1.788505294026e+10	3.436287257451e+03
1.796130686961e+10	3.440088017604e+03
1.803778995133e+10	3.443888777756e+03
1.811450256063e+10	3.447689537908e+03
1.819144507265e+10	3.451490298060e+03
1.826861786249e+10	3.455291058212e+03
1.834602130522e+10	3.459091818364e+03
1.842365577585e+10	3.462892578516e+03
1.850152164931e+10	3.466693338668e+03
1.857961930053e+10	3.470494098820e+03
1.865794910434e+10	3.474294858972e+03
1.873651143556e+10	3.478095619124e+03
1.881530666893e+10	3.481896379276e+03
1.889433517914e+10	3.485697139428e+03
1.897359734083e+10	3.489497899580e+03
1.905309352858e+10	3.493298659732e+03
1.913282411692e+10	3.497099419884e+03
1.921278948033e+10	3.500900180036e+03
1.929298999320e+10	3.504700940188e+03
1.937342602989e+10	3.508501700340e+03
1.945409796471e+10	3.512302460492e+03
1.953500617187e+10	3.516103220644e+03
1.961615102557e+10	3.519903980796e+03
1.969753289990e+10	3.523704740948e+03
1.977915216892e+10	3.527505501100e+03
1.986100920663e+10	3.531306261252e+03
1.994310438693e+10	3.535107021404e+03
2.002543808371e+10	3.538907781556e+03
2.010801067074e+10	3.542708541708e+03
2.019082252176e+10	3.546509301860e+03
2.027387401043e+10	3.550310062012e+03
2.035716551036e+10	3.554110822164e+03
2.044069739507e+10	3.557911582316e+03
2.052447003801e+10	3.561712342468e+03
2.060848381260e+10	3.565513102621e+03
2.069273909214e+10	3.569313862773e+03
2.077723624988e+10	3.573114622925e+03
2.086197565902e+10	3.576915383077e+03
2.094695769265e+10	3.580716143229e+03
2.103218272381e+10	3.584516903381e+03
2.111765112547e+10	3.588317663533e+03
2.120336327052e+10	3.592118423685e+03
2.128931953176e+10	3.595919183837e+03
2.137552028195e+10	3.599719943989e+03
2.146196589374e+10	3.603520704141e+03
2.154865673971e+10	3.607321464293e+03
2.163559319238e+10	3.611122224445e+03
2.172277562419e+10	3.614922984597e+03
2.181020440747e+10	3.618723744749e+03
2.189787991451e+10	3.622524504901e+03
2.198580251750e+10	3.626325265053e+03
2.207397258854e+10	3.630126025205e+03
2.216239049968e+10	3.633926785357e+03
2.225105662285e+10	3.637727545509e+03
